scale	N	K0	K1	K2	K3
10	16384	1.82794e+06	1.59137e+06	2.14737e+06	5.83144e+08
11	32768	2.1856e+06	2.00631e+06	2.61971e+06	6.78067e+08
12	65536	2.6512e+06	2.65821e+06	3.29343e+06	8.27838e+08
13	131072	3.35234e+06	3.56745e+06	3.99343e+06	9.68098e+08
14	262144	3.76518e+06	3.70152e+06	3.74594e+06	8.52792e+08
15	524288	2.17954e+06	2.38563e+06	3.51384e+06	7.50187e+08
16	1048576	3.30989e+06	3.48029e+06	3.31639e+06	6.30739e+08
17	2097152	2.70704e+06	2.96811e+06	2.94059e+06	4.14324e+08
18	4194304	1.98071e+06	2.04069e+06	2.83828e+06	2.80424e+08
19	8388608	1.6644e+06	1.78873e+06	2.78398e+06	2.52176e+08
20	16777216	1.5661e+06	1.59872e+06	2.7086e+06	2.19644e+08
21	33554432	1.35712e+06	1.60014e+06	2.6322e+06	1.68078e+08
22	67108864	1.53877e+06	1.42236e+06	2.54157e+06	1.34448e+08
#	C++	run	on	2015-10-26	20:21:50	by	bradley@ip-172-31-14-15
#	scale	k0-edges-per-sec	k1-edges-per-sec	k2-edges-per-sec	k3-edges-per-sec
10	16384	1.86351e+06	1.76822e+06	3.08112e+06	4.814e+08
11	32768	2.15795e+06	2.20345e+06	3.684e+06	6.2819e+08
12	65536	2.59919e+06	2.87705e+06	4.57873e+06	7.54032e+08
13	131072	3.29967e+06	3.81468e+06	5.68214e+06	9.42155e+08
14	262144	3.86736e+06	4.17422e+06	5.44976e+06	8.79141e+08
15	524288	3.58097e+06	4.05537e+06	5.14083e+06	7.79424e+08
16	1048576	3.38424e+06	3.97663e+06	4.85269e+06	6.62324e+08
17	2097152	2.58143e+06	2.88041e+06	4.07057e+06	3.96507e+08
18	4194304	1.6891e+06	1.75913e+06	3.97242e+06	2.84972e+08
19	8388608	1.40324e+06	1.55881e+06	3.94805e+06	2.56747e+08
20	16777216	1.56852e+06	1.73107e+06	3.87937e+06	2.20832e+08
21	33554432	1.47736e+06	1.68946e+06	3.78015e+06	1.68045e+08
22	67108864	1.51633e+06	1.64347e+06	3.63848e+06	1.36872e+08
#	C++	run	on	2015-10-26	20:25:30	by	bradley@ip-172-31-14-15
#	scale	k0-edges-per-sec	k1-edges-per-sec	k2-edges-per-sec	k3-edges-per-sec
10	16384	1.87737e+06	1.78272e+06	3.11719e+06	5.6238e+08
11	32768	1.7548e+06	2.2363e+06	3.76432e+06	6.2167e+08
12	65536	2.38778e+06	2.93925e+06	4.69277e+06	7.78119e+08
13	131072	3.22151e+06	2.71962e+06	2.89087e+06	5.45678e+08
14	262144	2.79012e+06	3.98783e+06	5.32689e+06	8.83107e+08
15	524288	3.58074e+06	4.02517e+06	5.07019e+06	7.81139e+08
16	1048576	3.36678e+06	3.94829e+06	4.81999e+06	6.65969e+08
17	2097152	2.77584e+06	2.85191e+06	4.10646e+06	4.35155e+08
18	4194304	1.96445e+06	1.94371e+06	3.98487e+06	2.89344e+08
19	8388608	1.744e+06	1.95626e+06	3.96279e+06	2.54511e+08
20	16777216	1.48223e+06	1.58283e+06	3.87235e+06	2.20615e+08
21	33554432	1.32457e+06	1.30921e+06	3.78141e+06	1.68835e+08
22	67108864	1.25946e+06	1.46646e+06	3.63666e+06	1.33931e+08
#	C++	run	on	2015-10-26	20:29:30	by	bradley@ip-172-31-14-15
#	scale	k0-edges-per-sec	k1-edges-per-sec	k2-edges-per-sec	k3-edges-per-sec
10	16384	2.03105e+06	1.9296e+06	3.28413e+06	5.84885e+08
11	32768	1.84811e+06	2.34894e+06	3.89945e+06	6.61425e+08
12	65536	2.46502e+06	3.02213e+06	4.7965e+06	7.47035e+08
13	131072	3.2663e+06	3.08658e+06	2.74565e+06	5.21024e+08
14	262144	2.71547e+06	3.8511e+06	5.43601e+06	8.55507e+08
15	524288	3.57086e+06	4.0096e+06	5.08463e+06	7.52082e+08
16	1048576	3.36149e+06	3.93653e+06	4.7992e+06	6.56715e+08
17	2097152	2.76234e+06	2.82596e+06	4.57182e+06	4.02023e+08
18	4194304	2.04111e+06	2.25497e+06	3.97378e+06	2.84829e+08
19	8388608	1.64108e+06	1.94663e+06	3.95815e+06	2.54134e+08
20	16777216	1.59769e+06	1.86715e+06	3.86034e+06	2.20698e+08
21	33554432	1.45995e+06	1.70038e+06	3.78107e+06	1.70517e+08
22	67108864	1.55834e+06	1.62008e+06	3.60197e+06	1.32716e+08
#	C++	run	on	2015-10-26	20:33:06	by	bradley@ip-172-31-14-15
#	scale	k0-edges-per-sec	k1-edges-per-sec	k2-edges-per-sec	k3-edges-per-sec
10	16384	1.89142e+06	1.79528e+06	3.09876e+06	5.54855e+08
11	32768	2.15136e+06	2.21785e+06	3.66534e+06	6.15171e+08
12	65536	2.59844e+06	2.89201e+06	4.58241e+06	7.39993e+08
13	131072	3.31311e+06	3.93339e+06	5.79295e+06	9.29552e+08
14	262144	3.83582e+06	4.13894e+06	5.4218e+06	8.73581e+08
15	524288	3.57568e+06	4.0371e+06	5.08862e+06	7.69426e+08
16	1048576	3.37385e+06	3.9595e+06	4.79202e+06	6.7265e+08
17	2097152	2.74262e+06	2.95233e+06	4.10999e+06	4.31001e+08
18	4194304	1.79302e+06	2.26672e+06	3.93627e+06	2.8402e+08
19	8388608	1.6201e+06	1.58742e+06	3.94651e+06	2.48752e+08
20	16777216	1.54021e+06	1.73981e+06	3.85999e+06	2.21566e+08
21	33554432	1.41008e+06	1.71552e+06	3.76301e+06	1.67616e+08
22	67108864	1.61734e+06	1.43143e+06	3.62358e+06	1.29628e+08
#	C++	run	on	2015-10-26	20:36:49	by	bradley@ip-172-31-14-15
#	scale	k0-edges-per-sec	k1-edges-per-sec	k2-edges-per-sec	k3-edges-per-sec
10	16384	1.89045e+06	1.79259e+06	3.12379e+06	5.56548e+08
11	32768	1.75447e+06	2.24338e+06	3.77157e+06	6.23333e+08
12	65536	2.39444e+06	3.02423e+06	5.08904e+06	7.83925e+08
13	131072	3.30774e+06	3.81816e+06	5.78162e+06	9.38787e+08
14	262144	3.73464e+06	4.05709e+06	2.72851e+06	5.90146e+08
15	524288	3.18479e+06	4.05086e+06	5.11266e+06	7.97949e+08
16	1048576	3.37023e+06	3.95715e+06	4.82312e+06	6.74239e+08
17	2097152	2.64671e+06	2.80455e+06	4.12521e+06	4.18437e+08
18	4194304	1.54351e+06	1.84232e+06	3.97165e+06	2.85721e+08
19	8388608	1.32909e+06	1.40726e+06	3.93268e+06	2.54489e+08
20	16777216	1.42853e+06	1.77547e+06	3.75212e+06	2.17423e+08
21	33554432	1.30375e+06	1.62825e+06	3.74244e+06	1.69539e+08
22	67108864	1.62643e+06	1.61502e+06	3.63251e+06	1.34892e+08
